Vial,coral.id,timepoint,life.stage,metric,Dilution.Factor,Count.1,Count.2,Count.3,Count.4,Count.5,Count.6,Sum.Counts,#squares/count,Total#Squares,Counter.Initials,Date.Counted
102,P10,T1,Adult,Zoox,,,,,,,,,,,,
103,P10,T1,Adult,Protein,,,,,,,,,,,,
104,P10,T1,Adult,Protein,,,,,,,,,,,,
105,P10,T1,Adult,Protein,,,,,,,,,,,,
106,P10,T1,Adult,RNA/DNA,,,,,,,,,,,,
107,P10,T1,Adult,RNA/DNA,,,,,,,,,,,,
108,P10,T1,Adult,RNA/DNA,,,,,,,,,,,,
109,P18,T1,Adult,Zoox,,,,,,,,,,,,
110,P18,T1,Adult,Zoox,,,,,,,,,,,,
111,P18,T1,Adult,Zoox,,,,,,,,,,,,
112,P18,T1,Adult,Protein,,,,,,,,,,,,
113,P18,T1,Adult,Protein,,,,,,,,,,,,
114,P18,T1,Adult,Protein,,,,,,,,,,,,
115,P18,T1,Adult,RNA/DNA,,,,,,,,,,,,
116,P18,T1,Adult,RNA/DNA,,,,,,,,,,,,
117,P18,T1,Adult,RNA/DNA,,,,,,,,,,,,
118,P12,T1,Adult,Zoox,,,,,,,,,,,,
119,P12,T1,Adult,Zoox,,,,,,,,,,,,
120,P12,T1,Adult,Zoox,,,,,,,,,,,,
121,P12,T1,Adult,Protein,,,,,,,,,,,,
122,P12,T1,Adult,Protein,,,,,,,,,,,,
123,P12,T1,Adult,Protein,,,,,,,,,,,,
124,P12,T1,Adult,RNA/DNA,,,,,,,,,,,,
125,P12,T1,Adult,RNA/DNA,,,,,,,,,,,,
126,P12,T1,Adult,RNA/DNA,,,,,,,,,,,,
127,P9,T1,Adult,Zoox,,,,,,,,,,,,
128,P9,T1,Adult,Zoox,,,,,,,,,,,,
129,P9,T1,Adult,Zoox,,,,,,,,,,,,
130,P9,T1,Adult,Protein,,,,,,,,,,,,
131,P9,T1,Adult,Protein,,,,,,,,,,,,
132,P9,T1,Adult,Protein,,,,,,,,,,,,
133,P9,T1,Adult,RNA/DNA,,,,,,,,,,,,
134,P9,T1,Adult,RNA/DNA,,,,,,,,,,,,
135,P9,T1,Adult,RNA/DNA,,,,,,,,,,,,
136,P17,T1,Adult,Zoox,,,,,,,,,,,,
137,P17,T1,Adult,Zoox,,,,,,,,,,,,
138,P17,T1,Adult,Zoox,,,,,,,,,,,,
139,P17,T1,Adult,Protein,,,,,,,,,,,,
140,P17,T1,Adult,Protein,,,,,,,,,,,,
141,P17,T1,Adult,Protein,,,,,,,,,,,,
142,P17,T1,Adult,RNA/DNA,,,,,,,,,,,,
143,P17,T1,Adult,RNA/DNA,,,,,,,,,,,,
144,P17,T1,Adult,RNA/DNA,,,,,,,,,,,,
145,P11,T1,Adult,Zoox,,,,,,,,,,,,
146,P11,T1,Adult,Zoox,,,,,,,,,,,,
147,P11,T1,Adult,Zoox,,,,,,,,,,,,
148,P11,T1,Adult,Protein,,,,,,,,,,,,
149,P11,T1,Adult,Protein,,,,,,,,,,,,
150,P11,T1,Adult,Protein,,,,,,,,,,,,
151,P11,T1,Adult,RNA/DNA,,,,,,,,,,,,
152,P11,T1,Adult,RNA/DNA,,,,,,,,,,,,
153,P11,T1,Adult,RNA/DNA,,,,,,,,,,,,
154,P1,T1,Adult,Zoox,,,,,,,,,,,,
155,P1,T1,Adult,Zoox,,,,,,,,,,,,
156,P1,T1,Adult,Zoox,,,,,,,,,,,,
157,P1,T1,Adult,Protein,,,,,,,,,,,,
158,P1,T1,Adult,Protein,,,,,,,,,,,,
159,P1,T1,Adult,Protein,,,,,,,,,,,,
160,P1,T1,Adult,RNA/DNA,,,,,,,,,,,,
161,P1,T1,Adult,RNA/DNA,,,,,,,,,,,,
162,P1,T1,Adult,RNA/DNA,,,,,,,,,,,,
163,P6,T1,Adult,Zoox,,,,,,,,,,,,
164,P6,T1,Adult,Zoox,,,,,,,,,,,,
165,P6,T1,Adult,Zoox,,,,,,,,,,,,
166,P6,T1,Adult,Protein,,,,,,,,,,,,
167,P6,T1,Adult,Protein,,,,,,,,,,,,
168,P6,T1,Adult,Protein,,,,,,,,,,,,
169,P6,T1,Adult,RNA/DNA,,,,,,,,,,,,
170,P6,T1,Adult,RNA/DNA,,,,,,,,,,,,
171,P6,T1,Adult,RNA/DNA,,,,,,,,,,,,
172,P5,T1,Adult,Zoox,,,,,,,,,,,,
173,P5,T1,Adult,Zoox,,,,,,,,,,,,
174,P5,T1,Adult,Zoox,,,,,,,,,,,,
175,P5,T1,Adult,Protein,,,,,,,,,,,,
176,P5,T1,Adult,Protein,,,,,,,,,,,,
177,P5,T1,Adult,Protein,,,,,,,,,,,,
178,P5,T1,Adult,RNA/DNA,,,,,,,,,,,,
179,P5,T1,Adult,RNA/DNA,,,,,,,,,,,,
180,P5,T1,Adult,RNA/DNA,,,,,,,,,,,,
181,P14,T1,Adult,Zoox,,,,,,,,,,,,
182,P14,T1,Adult,Zoox,,,,,,,,,,,,
183,P14,T1,Adult,Zoox,,,,,,,,,,,,
184,P14,T1,Adult,Protein,,,,,,,,,,,,
185,P14,T1,Adult,Protein,,,,,,,,,,,,
186,P14,T1,Adult,Protein,,,,,,,,,,,,
187,P14,T1,Adult,RNA/DNA,,,,,,,,,,,,
188,P14,T1,Adult,RNA/DNA,,,,,,,,,,,,
189,P14,T1,Adult,RNA/DNA,,,,,,,,,,,,
190,P3,T1,Adult,Zoox,,,,,,,,,,,,
191,P3,T1,Adult,Zoox,,,,,,,,,,,,
192,P3,T1,Adult,Zoox,,,,,,,,,,,,
193,P3,T1,Adult,Protein,,,,,,,,,,,,
194,P3,T1,Adult,Protein,,,,,,,,,,,,
195,P3,T1,Adult,Protein,,,,,,,,,,,,
196,P3,T1,Adult,RNA/DNA,,,,,,,,,,,,
197,P3,T1,Adult,RNA/DNA,,,,,,,,,,,,
198,P3,T1,Adult,RNA/DNA,,,,,,,,,,,,
199,P15,T1,Adult,Zoox,,,,,,,,,,,,
200,P15,T1,Adult,Zoox,,,,,,,,,,,,
201,P15,T1,Adult,Zoox,,,,,,,,,,,,
202,P15,T1,Adult,Protein,,,,,,,,,,,,
203,P15,T1,Adult,Protein,,,,,,,,,,,,
204,P15,T1,Adult,Protein,,,,,,,,,,,,
205,P15,T1,Adult,RNA/DNA,,,,,,,,,,,,
206,P15,T1,Adult,RNA/DNA,,,,,,,,,,,,
207,P15,T1,Adult,RNA/DNA,,,,,,,,,,,,
208,R4,T2,Adult,Zoox,,,,,,,,,,,,
209,R4,T2,Adult,Zoox,,,,,,,,,,,,
210,R4,T2,Adult,Zoox,,,,,,,,,,,,
211,R4,T2,Adult,Protein,,,,,,,,,,,,
212,R4,T2,Adult,Protein,,,,,,,,,,,,
213,R4,T2,Adult,Protein,,,,,,,,,,,,
214,R4,T2,Adult,RNA/DNA,,,,,,,,,,,,
215,R4,T2,Adult,RNA/DNA,,,,,,,,,,,,
216,R4,T2,Adult,RNA/DNA,,,,,,,,,,,,
217,R2,T2,Adult,Zoox,,,,,,,,,,,,
218,R2,T2,Adult,Zoox,,,,,,,,,,,,
219,R2,T2,Adult,Zoox,,,,,,,,,,,,
220,R2,T2,Adult,Protein,,,,,,,,,,,,
221,R2,T2,Adult,Protein,,,,,,,,,,,,
222,R2,T2,Adult,Protein,,,,,,,,,,,,
223,R2,T2,Adult,RNA/DNA,,,,,,,,,,,,
224,R2,T2,Adult,RNA/DNA,,,,,,,,,,,,
225,R2,T2,Adult,RNA/DNA,,,,,,,,,,,,
226,R11,T2,Adult,Zoox,,,,,,,,,,,,
227,R11,T2,Adult,Zoox,,,,,,,,,,,,
228,R11,T2,Adult,Zoox,,,,,,,,,,,,
229,R11,T2,Adult,Protein,,,,,,,,,,,,
230,R11,T2,Adult,Protein,,,,,,,,,,,,
231,R11,T2,Adult,Protein,,,,,,,,,,,,
232,R11,T2,Adult,RNA/DNA,,,,,,,,,,,,
233,R11,T2,Adult,RNA/DNA,,,,,,,,,,,,
234,R11,T2,Adult,RNA/DNA,,,,,,,,,,,,
235,R5,T2,Adult,Zoox,,,,,,,,,,,,
236,R5,T2,Adult,Zoox,,,,,,,,,,,,
237,R5,T2,Adult,Zoox,,,,,,,,,,,,
238,R5,T2,Adult,Protein,,,,,,,,,,,,
239,R5,T2,Adult,Protein,,,,,,,,,,,,
240,R5,T2,Adult,Protein,,,,,,,,,,,,
241,R5,T2,Adult,RNA/DNA,,,,,,,,,,,,
242,R5,T2,Adult,RNA/DNA,,,,,,,,,,,,
243,R5,T2,Adult,RNA/DNA,,,,,,,,,,,,
244,R18,T2,Adult,Zoox,,,,,,,,,,,,
245,R18,T2,Adult,Zoox,,,,,,,,,,,,
246,R18,T2,Adult,Zoox,,,,,,,,,,,,
247,R18,T2,Adult,Protein,,,,,,,,,,,,
248,R18,T2,Adult,Protein,,,,,,,,,,,,
249,R18,T2,Adult,Protein,,,,,,,,,,,,
250,R18,T2,Adult,RNA/DNA,,,,,,,,,,,,
251,R18,T2,Adult,RNA/DNA,,,,,,,,,,,,
252,R18,T2,Adult,RNA/DNA,,,,,,,,,,,,
253,R6,T2,Adult,Zoox,,,,,,,,,,,,
254,R6,T2,Adult,Zoox,,,,,,,,,,,,
255,R6,T2,Adult,Zoox,,,,,,,,,,,,
256,R6,T2,Adult,Protein,,,,,,,,,,,,
257,R6,T2,Adult,Protein,,,,,,,,,,,,
258,R6,T2,Adult,Protein,,,,,,,,,,,,
259,R6,T2,Adult,RNA/DNA,,,,,,,,,,,,
260,R6,T2,Adult,RNA/DNA,,,,,,,,,,,,
261,R6,T2,Adult,RNA/DNA,,,,,,,,,,,,
262,R10,T2,Adult,Zoox,,,,,,,,,,,,
263,R10,T2,Adult,Zoox,,,,,,,,,,,,
264,R10,T2,Adult,Zoox,,,,,,,,,,,,
265,R10,T2,Adult,Protein,,,,,,,,,,,,
266,R10,T2,Adult,Protein,,,,,,,,,,,,
267,R10,T2,Adult,Protein,,,,,,,,,,,,
268,R10,T2,Adult,RNA/DNA,,,,,,,,,,,,
269,R10,T2,Adult,RNA/DNA,,,,,,,,,,,,
270,R10,T2,Adult,RNA/DNA,,,,,,,,,,,,
271,R8,T2,Adult,Zoox,,,,,,,,,,,,
272,R8,T2,Adult,Zoox,,,,,,,,,,,,
273,R8,T2,Adult,Zoox,,,,,,,,,,,,
274,R8,T2,Adult,Protein,,,,,,,,,,,,
275,R8,T2,Adult,Protein,,,,,,,,,,,,
276,R8,T2,Adult,Protein,,,,,,,,,,,,
277,R8,T2,Adult,RNA/DNA,,,,,,,,,,,,
278,R8,T2,Adult,RNA/DNA,,,,,,,,,,,,
279,R8,T2,Adult,RNA/DNA,,,,,,,,,,,,
280,R12,T2,Adult,Zoox,,,,,,,,,,,,
281,R12,T2,Adult,Zoox,,,,,,,,,,,,
282,R12,T2,Adult,Zoox,,,,,,,,,,,,
283,R12,T2,Adult,Protein,,,,,,,,,,,,
284,R12,T2,Adult,Protein,,,,,,,,,,,,
285,R12,T2,Adult,Protein,,,,,,,,,,,,
286,R12,T2,Adult,RNA/DNA,,,,,,,,,,,,
287,R12,T2,Adult,RNA/DNA,,,,,,,,,,,,
288,R12,T2,Adult,RNA/DNA,,,,,,,,,,,,
289,R7,T2,Adult,Zoox,,,,,,,,,,,,
290,R7,T2,Adult,Zoox,,,,,,,,,,,,
291,R7,T2,Adult,Zoox,,,,,,,,,,,,
292,R7,T2,Adult,Protein,,,,,,,,,,,,
293,R7,T2,Adult,Protein,,,,,,,,,,,,
294,R7,T2,Adult,Protein,,,,,,,,,,,,
295,R7,T2,Adult,RNA/DNA,,,,,,,,,,,,
296,R7,T2,Adult,RNA/DNA,,,,,,,,,,,,
297,R7,T2,Adult,RNA/DNA,,,,,,,,,,,,
298,R15,T2,Adult,Zoox,,,,,,,,,,,,
299,R15,T2,Adult,Zoox,,,,,,,,,,,,
300,R15,T2,Adult,Zoox,,,,,,,,,,,,
301,R15,T2,Adult,Protein,,,,,,,,,,,,
302,R15,T2,Adult,Protein,,,,,,,,,,,,
303,R15,T2,Adult,Protein,,,,,,,,,,,,
304,R15,T2,Adult,RNA/DNA,,,,,,,,,,,,
305,R15,T2,Adult,RNA/DNA,,,,,,,,,,,,
306,R15,T2,Adult,RNA/DNA,,,,,,,,,,,,
307,R17,T1,Adult,Zoox,,,,,,,,,,,,
308,R17,T1,Adult,Zoox,,,,,,,,,,,,
309,R17,T1,Adult,Zoox,,,,,,,,,,,,
310,R17,T1,Adult,Protein,,,,,,,,,,,,
311,R17,T1,Adult,Protein,,,,,,,,,,,,
312,R17,T1,Adult,Protein,,,,,,,,,,,,
313,R17,T1,Adult,RNA/DNA,,,,,,,,,,,,
314,R17,T1,Adult,RNA/DNA,,,,,,,,,,,,
315,R17,T1,Adult,RNA/DNA,,,,,,,,,,,,
316,R6,T1,Adult,Zoox,,,,,,,,,,,,
317,R6,T1,Adult,Zoox,,,,,,,,,,,,
318,R6,T1,Adult,Zoox,,,,,,,,,,,,
319,R6,T1,Adult,Protein,,,,,,,,,,,,
320,R6,T1,Adult,Protein,,,,,,,,,,,,
321,R6,T1,Adult,Protein,,,,,,,,,,,,
322,R6,T1,Adult,RNA/DNA,,,,,,,,,,,,
323,R6,T1,Adult,RNA/DNA,,,,,,,,,,,,
324,R6,T1,Adult,RNA/DNA,,,,,,,,,,,,
325,R2,T1,Adult,Zoox,,,,,,,,,,,,
326,R2,T1,Adult,Zoox,,,,,,,,,,,,
327,R2,T1,Adult,Zoox,,,,,,,,,,,,
328,R2,T1,Adult,Protein,,,,,,,,,,,,
329,R2,T1,Adult,Protein,,,,,,,,,,,,
330,R2,T1,Adult,Protein,,,,,,,,,,,,
331,R2,T1,Adult,RNA/DNA,,,,,,,,,,,,
332,R2,T1,Adult,RNA/DNA,,,,,,,,,,,,
333,R2,T1,Adult,RNA/DNA,,,,,,,,,,,,
334,R3,T1,Adult,Zoox,,,,,,,,,,,,
335,R3,T1,Adult,Zoox,,,,,,,,,,,,
336,R3,T1,Adult,Zoox,,,,,,,,,,,,
337,R3,T1,Adult,Protein,,,,,,,,,,,,
338,R3,T1,Adult,Protein,,,,,,,,,,,,
339,R3,T1,Adult,Protein,,,,,,,,,,,,
340,R3,T1,Adult,RNA/DNA,,,,,,,,,,,,
341,R3,T1,Adult,RNA/DNA,,,,,,,,,,,,
342,R3,T1,Adult,RNA/DNA,,,,,,,,,,,,
343,R8,T1,Adult,Zoox,,,,,,,,,,,,
344,R8,T1,Adult,Zoox,,,,,,,,,,,,
345,R8,T1,Adult,Zoox,,,,,,,,,,,,
346,R8,T1,Adult,Protein,,,,,,,,,,,,
347,R8,T1,Adult,Protein,,,,,,,,,,,,
348,R8,T1,Adult,Protein,,,,,,,,,,,,
349,R8,T1,Adult,RNA/DNA,,,,,,,,,,,,
350,R8,T1,Adult,RNA/DNA,,,,,,,,,,,,
351,R8,T1,Adult,RNA/DNA,,,,,,,,,,,,
352,R1,T1,Adult,Zoox,,,,,,,,,,,,
353,R1,T1,Adult,Zoox,,,,,,,,,,,,
354,R1,T1,Adult,Zoox,,,,,,,,,,,,
355,R1,T1,Adult,Protein,,,,,,,,,,,,
356,R1,T1,Adult,Protein,,,,,,,,,,,,
357,R1,T1,Adult,Protein,,,,,,,,,,,,
358,R1,T1,Adult,RNA/DNA,,,,,,,,,,,,
359,R1,T1,Adult,RNA/DNA,,,,,,,,,,,,
360,R1,T1,Adult,RNA/DNA,,,,,,,,,,,,
361,R18,T1,Adult,Zoox,,,,,,,,,,,,
362,R18,T1,Adult,Zoox,,,,,,,,,,,,
363,R18,T1,Adult,Zoox,,,,,,,,,,,,
364,R18,T1,Adult,Protein,,,,,,,,,,,,
365,R18,T1,Adult,Protein,,,,,,,,,,,,
366,R18,T1,Adult,Protein,,,,,,,,,,,,
367,R18,T1,Adult,RNA/DNA,,,,,,,,,,,,
368,R18,T1,Adult,RNA/DNA,,,,,,,,,,,,
369,R18,T1,Adult,RNA/DNA,,,,,,,,,,,,
370,R5,T1,Adult,Zoox,,,,,,,,,,,,
371,R5,T1,Adult,Zoox,,,,,,,,,,,,
372,R5,T1,Adult,Zoox,,,,,,,,,,,,
373,R5,T1,Adult,Protein,,,,,,,,,,,,
374,R5,T1,Adult,Protein,,,,,,,,,,,,
375,R5,T1,Adult,Protein,,,,,,,,,,,,
376,R5,T1,Adult,RNA/DNA,,,,,,,,,,,,
377,R5,T1,Adult,RNA/DNA,,,,,,,,,,,,
378,R5,T1,Adult,RNA/DNA,,,,,,,,,,,,
379,R20,T1,Adult,Zoox,,,,,,,,,,,,
380,R20,T1,Adult,Zoox,,,,,,,,,,,,
381,R20,T1,Adult,Zoox,,,,,,,,,,,,
382,R20,T1,Adult,Protein,,,,,,,,,,,,
383,R20,T1,Adult,Protein,,,,,,,,,,,,
384,R20,T1,Adult,Protein,,,,,,,,,,,,
385,R20,T1,Adult,RNA/DNA,,,,,,,,,,,,
386,R20,T1,Adult,RNA/DNA,,,,,,,,,,,,
387,R20,T1,Adult,RNA/DNA,,,,,,,,,,,,
388,R12,T1,Adult,Zoox,,,,,,,,,,,,
389,R12,T1,Adult,Zoox,,,,,,,,,,,,
390,R12,T1,Adult,Zoox,,,,,,,,,,,,
391,R12,T1,Adult,Protein,,,,,,,,,,,,
392,R12,T1,Adult,Protein,,,,,,,,,,,,
393,R12,T1,Adult,Protein,,,,,,,,,,,,
394,R12,T1,Adult,RNA/DNA,,,,,,,,,,,,
395,R12,T1,Adult,RNA/DNA,,,,,,,,,,,,
396,R12,T1,Adult,RNA/DNA,,,,,,,,,,,,
397,R4,T1,Adult,Zoox,,,,,,,,,,,,
398,R4,T1,Adult,Zoox,,,,,,,,,,,,
399,R4,T1,Adult,Zoox,,,,,,,,,,,,
400,R4,T1,Adult,Protein,,,,,,,,,,,,
401,R4,T1,Adult,Protein,,,,,,,,,,,,
402,R4,T1,Adult,Protein,,,,,,,,,,,,
403,R4,T1,Adult,RNA/DNA,,,,,,,,,,,,
404,R4,T1,Adult,RNA/DNA,,,,,,,,,,,,
405,R4,T1,Adult,RNA/DNA,,,,,,,,,,,,
406,R15,T1,Adult,Zoox,,,,,,,,,,,,
407,R15,T1,Adult,Zoox,,,,,,,,,,,,
408,R15,T1,Adult,Zoox,,,,,,,,,,,,
409,R15,T1,Adult,Protein,,,,,,,,,,,,
410,R15,T1,Adult,Protein,,,,,,,,,,,,
411,R15,T1,Adult,Protein,,,,,,,,,,,,
412,R15,T1,Adult,RNA/DNA,,,,,,,,,,,,
413,R15,T1,Adult,RNA/DNA,,,,,,,,,,,,
414,R15,T1,Adult,RNA/DNA,,,,,,,,,,,,
415,R9,T1,Adult,Zoox,,,,,,,,,,,,
416,R9,T1,Adult,Zoox,,,,,,,,,,,,
417,R9,T1,Adult,Zoox,,,,,,,,,,,,
418,R9,T1,Adult,Protein,,,,,,,,,,,,
419,R9,T1,Adult,Protein,,,,,,,,,,,,
420,R9,T1,Adult,Protein,,,,,,,,,,,,
421,R9,T1,Adult,RNA/DNA,,,,,,,,,,,,
422,R9,T1,Adult,RNA/DNA,,,,,,,,,,,,
423,R9,T1,Adult,RNA/DNA,,,,,,,,,,,,
424,R11,T1,Adult,Zoox,,,,,,,,,,,,
425,R11,T1,Adult,Zoox,,,,,,,,,,,,
426,R11,T1,Adult,Zoox,,,,,,,,,,,,
427,R11,T1,Adult,Protein,,,,,,,,,,,,
428,R11,T1,Adult,Protein,,,,,,,,,,,,
429,R11,T1,Adult,Protein,,,,,,,,,,,,
430,R11,T1,Adult,RNA/DNA,,,,,,,,,,,,
431,R11,T1,Adult,RNA/DNA,,,,,,,,,,,,
432,R11,T1,Adult,RNA/DNA,,,,,,,,,,,,
433,R16,T1,Adult,Zoox,,,,,,,,,,,,
434,R16,T1,Adult,Zoox,,,,,,,,,,,,
435,R16,T1,Adult,Zoox,,,,,,,,,,,,
436,R16,T1,Adult,Protein,,,,,,,,,,,,
437,R16,T1,Adult,Protein,,,,,,,,,,,,
438,R16,T1,Adult,Protein,,,,,,,,,,,,
439,R16,T1,Adult,RNA/DNA,,,,,,,,,,,,
440,R16,T1,Adult,RNA/DNA,,,,,,,,,,,,
441,R16,T1,Adult,RNA/DNA,,,,,,,,,,,,
442,R19,T1,Adult,Zoox,,,,,,,,,,,,
443,R19,T1,Adult,Zoox,,,,,,,,,,,,
444,R19,T1,Adult,Zoox,,,,,,,,,,,,
445,R19,T1,Adult,Protein,,,,,,,,,,,,
446,R19,T1,Adult,Protein,,,,,,,,,,,,
447,R19,T1,Adult,Protein,,,,,,,,,,,,
448,R19,T1,Adult,RNA/DNA,,,,,,,,,,,,
449,R19,T1,Adult,RNA/DNA,,,,,,,,,,,,
450,R19,T1,Adult,RNA/DNA,,,,,,,,,,,,
451,R10,T1,Adult,Zoox,,,,,,,,,,,,
452,R10,T1,Adult,Zoox,,,,,,,,,,,,
453,R10,T1,Adult,Zoox,,,,,,,,,,,,
454,R10,T1,Adult,Protein,,,,,,,,,,,,
455,R10,T1,Adult,Protein,,,,,,,,,,,,
456,R10,T1,Adult,Protein,,,,,,,,,,,,
457,R10,T1,Adult,RNA/DNA,,,,,,,,,,,,
458,R10,T1,Adult,RNA/DNA,,,,,,,,,,,,
459,R10,T1,Adult,RNA/DNA,,,,,,,,,,,,
460,R14,T1,Adult,Zoox,,,,,,,,,,,,
461,R14,T1,Adult,Zoox,,,,,,,,,,,,
462,R14,T1,Adult,Zoox,,,,,,,,,,,,
463,R14,T1,Adult,Protein,,,,,,,,,,,,
464,R14,T1,Adult,Protein,,,,,,,,,,,,
465,R14,T1,Adult,Protein,,,,,,,,,,,,
466,R14,T1,Adult,RNA/DNA,,,,,,,,,,,,
467,R14,T1,Adult,RNA/DNA,,,,,,,,,,,,
468,R14,T1,Adult,RNA/DNA,,,,,,,,,,,,
