"","coral.id.x","treatment","reef.zone","timepoint","Cells.mL","coral.tp","homo.vol","Surface.Area","Cells.mL.vol","Cells.cm2","Cells.cm2.x6"
"62","R2","Ambient","Rim","Post-Treatment",261111.111111111,"R2 Post-Treatment",20,7.86905070206526,5222222.22222222,663640.688050419,0.663640688050419
"63","R2","Ambient","Rim","Pre-Treatment",373611.111111111,"R2 Pre-Treatment",17.5,8.64816587918012,6538194.44444444,756020.933893591,0.756020933893591
"64","R20","Hot","Rim","Post-Treatment",216944.444444444,"R20 Post-Treatment",17,11.9042796887478,3688055.55555556,309809.215843743,0.309809215843743
"65","R20","Hot","Rim","Pre-Treatment",600555.555555556,"R20 Pre-Treatment",14,10.2798978191501,8407777.77777778,817885.345330494,0.817885345330494
"66","R3","Ambient","Rim","Post-Treatment",628888.888888889,"R3 Post-Treatment",17,8.24390803962593,10691111.1111111,1296849.87504982,1.29684987504982
"67","R3","Ambient","Rim","Pre-Treatment",450833.333333333,"R3 Pre-Treatment",8,6.54602480479228,3606666.66666667,550970.516339361,0.550970516339361
"68","R4","Ambient","Rim","Post-Treatment",567777.777777778,"R4 Post-Treatment",23.5,16.1379625600213,13342777.7777778,826794.443731822,0.826794443731822
"69","R4","Ambient","Rim","Pre-Treatment",438055.555555556,"R4 Pre-Treatment",9,4.75993984347377,3942500,828266.770094891,0.828266770094891
"70","R5","Ambient","Rim","Post-Treatment",657222.222222222,"R5 Post-Treatment",13,6.74447868938323,8543888.88888889,1266797.52170293,1.26679752170293
"71","R5","Ambient","Rim","Pre-Treatment",536944.444444444,"R5 Pre-Treatment",15,7.37659091552188,8054166.66666667,1091854.86343279,1.09185486343279
"72","R6","Ambient","Rim","Post-Treatment",864444.444444444,"R6 Post-Treatment",22.5,19.3499752858423,19450000,1005169.24247603,1.00516924247603
"73","R6","Ambient","Rim","Pre-Treatment",865277.777777778,"R6 Pre-Treatment",12,7.85435034081634,10383333.3333333,1321984.99974909,1.32198499974909
"74","R7","Ambient","Rim","Post-Treatment",990833.333333333,"R7 Post-Treatment",19,11.0810634278862,18825833.3333333,1698919.37320356,1.69891937320356
"75","R7","Ambient","Rim","Pre-Treatment",1318888.88888889,"R7 Pre-Treatment",17,10.49305206499,22421111.1111111,2136757.82529651,2.13675782529651
"76","R8","Ambient","Rim","Post-Treatment",867777.777777778,"R8 Post-Treatment",12.5,10.044693141689,10847222.2222222,1079895.82849499,1.07989582849499
"77","R8","Ambient","Rim","Pre-Treatment",768333.333333333,"R8 Pre-Treatment",17,6.94293257397417,13061666.6666667,1881289.5743261,1.8812895743261
"78","R9","Ambient","Rim","Post-Treatment",766111.111111111,"R9 Post-Treatment",17.5,11.5588228531807,13406944.4444444,1159888.39129542,1.15988839129542
"79","R9","Ambient","Rim","Pre-Treatment",534166.666666667,"R9 Pre-Treatment",14,7.16343689018634,7478333.33333333,1043958.8493588,1.0439588493588
